state,x,y
Alabama,139,-94
Alaska,-195,-170
Arizona,-203,-40
Arkansas,52,-53
California,-297,13
Colorado,-112,20
Connecticut,297,96
Delaware,275,42
Florida,220,-145
Georgia,189,-85
Hawaii,-317,-143
Idaho,-210,105
Illinois,95,37
Indiana,133,30
Iowa,38,65
Kansas,-17,5
Kentucky,149,-13
Louisiana,75,-130
Maine,319,164
Maryland,288,27
Massachusetts,312,105
Michigan,148,101
Minnesota,20,135
Mississippi,105,-78
Missouri,58,2
Montana,-141,150
Nebraska,-50,66
Nevada,-257,56
New Hampshire,302,127
New Jersey,282,65
New Mexico,-120,-45
New York,255,96
North Carolina,244,-27
North Dakota,-37,158
Ohio,176,52
Oklahoma,-5,-41
Oregon,-278,138
Pennsylvania,238,60
Rhode Island,318,90
South Carolina,224,-54
South Dakota,-37,109
Tennessee,131,-38
Texas,-38,-106
Utah,-189,34
Vermont,282,134
Virginia,240,0
Washington,-257,186
West Virginia,210,20
Wisconsin,83,113
Wyoming,-134,90
